cliente_inactivo,frecuencia_compra,gasto_total_acumulado,cantidad_total_comprada,ticket_promedio,dias_desde_ultima_compra,frecuencia_mensual_compra,numero_categorias_distintas,numero_productos_distintos,canal_mas_utilizado,descuento_promedio_utilizado,segmento,edad,genero,ciudad_cliente,distrito_cliente
1,16,5953.03,38.0,372.064375,2,1.1428571428571428,6,16,Tienda Física,11.346875,Nuevo,51.0,M,Lima,Jesus María
0,20,10053.529999999999,35.0,502.6764999999999,7,1.4285714285714286,6,18,Tienda Física,12.864500000000001,Regular,34.0,M,Lima,San Isidro
0,12,1185.48,31.0,98.79,1,1.0,5,11,Tienda Física,14.745833333333332,Regular,46.0,F,Arequipa,Cayma
0,17,4146.09,36.0,243.88764705882355,27,1.5454545454545454,6,17,Tienda Física,10.570588235294117,Premium,67.0,F,Trujillo,Mansiche
0,11,4505.42,26.0,409.58363636363634,44,1.1,5,11,Tienda Física,11.616363636363637,Regular,51.0,F,Lima,Miraflores
0,14,11787.47,38.0,841.9621428571428,43,1.2727272727272727,6,14,Tienda Física,15.017142857142858,Ocasional,29.0,M,Piura,Miraflores
0,20,2552.85,44.0,127.6425,25,1.25,5,20,Tienda Física,12.218,Premium,50.0,M,Arequipa,Cercado
1,14,6369.429999999999,32.0,454.95928571428567,32,1.2727272727272727,5,14,Tienda Física,13.812142857142858,Premium,50.0,M,Piura,Castilla
0,17,4205.98,47.0,247.41058823529409,79,1.2142857142857142,6,17,Tienda Física,12.08235294117647,Ocasional,31.0,M,Arequipa,Cayma
0,15,4488.75,32.0,299.25,39,1.25,6,15,Tienda Física,12.264000000000001,Ocasional,24.0,M,Arequipa,Cerro Colorado
0,14,1216.79,36.0,86.91357142857143,99,1.1666666666666667,5,14,Tienda Física,15.396153846153847,Regular,31.0,F,Lima,La Molina
1,10,1599.78,25.0,159.978,18,1.0,5,10,Tienda Física,18.054,Nuevo,46.0,F,Lima,Miraflores
0,15,6886.94,26.0,459.1293333333333,56,1.3636363636363635,5,15,Tienda Física,12.363333333333333,Regular,36.0,M,Lima,Pueblo Libre
0,14,1036.67,36.0,74.04785714285715,139,1.1666666666666667,5,14,Tienda Física,12.980714285714285,Regular,41.0,M,Lima,La Molina
0,16,7645.349999999999,42.0,509.68999999999994,45,1.3333333333333333,5,16,Tienda Física,13.930625,Premium,49.0,F,Arequipa,Yanahuara
0,14,7279.570000000001,25.0,519.9692857142858,77,1.0769230769230769,5,14,Tienda Física,9.025714285714285,Premium,18.0,F,Lima,Barranco
0,13,4121.03,38.0,317.0023076923077,115,1.1818181818181819,6,13,Tienda Física,11.571538461538463,Nuevo,35.0,F,Lima,Magdalena
0,19,4164.35,46.0,219.1763157894737,63,1.2666666666666666,5,19,Tienda Física,12.65157894736842,Ocasional,45.0,F,Arequipa,Yanahuara
0,18,11547.45,29.0,641.5250000000001,5,1.125,6,18,Tienda Física,12.927222222222222,Nuevo,47.0,F,Cusco,Wanchaq
1,18,4456.67,50.0,247.59277777777777,22,1.3846153846153846,5,18,Tienda Física,10.113888888888889,Nuevo,29.0,F,Arequipa,Yanahuara
0,20,8665.880000000001,52.0,433.29400000000004,71,1.1111111111111112,6,19,Tienda Física,9.917,Nuevo,34.0,F,Cusco,San Jerónimo
0,16,1595.3700000000001,42.0,99.71062500000001,54,1.2307692307692308,5,16,Tienda Física,13.046875,Ocasional,33.0,F,Piura,Sullana
0,13,2045.9098700847228,34.0,157.37768231420944,73,1.3,5,13,Tienda Física,10.488461538461538,Nuevo,48.0,M,Lima,Barranco
0,16,4729.93,35.0,295.620625,25,1.3333333333333333,6,16,Tienda Física,13.956875,Regular,43.0,M,Cusco,Cercado
0,17,9325.89,40.0,548.5817647058823,42,1.3076923076923077,6,17,Tienda Física,13.109411764705882,Ocasional,21.0,M,Lima,Barranco
0,19,14091.754116625987,47.0,741.6712692961046,83,1.3571428571428572,6,19,Tienda Física,10.611578947368422,Regular,36.0,F,Lima,Miraflores
0,9,4690.64,20.0,521.1822222222222,58,1.125,6,9,Tienda Física,10.317777777777778,Ocasional,47.0,M,Trujillo,El Recreo
0,18,2860.31,34.0,158.9061111111111,90,1.5,5,18,Tienda Física,13.372222222222222,Premium,23.0,F,Lima,Pueblo Libre
0,13,3226.75,33.0,248.21153846153845,64,1.1818181818181819,6,13,Tienda Física,11.60923076923077,Premium,25.0,F,Piura,Miraflores
0,12,9149.21,22.0,762.4341666666666,235,1.0909090909090908,5,12,Tienda Física,5.295,Ocasional,53.0,M,Piura,Sullana
1,13,3537.0299999999997,19.0,272.0792307692308,130,1.0833333333333333,6,13,Tienda Física,13.160769230769231,Ocasional,47.0,F,Lima,Lince
1,19,5763.482862419115,33.0,303.3412032852166,18,1.2666666666666666,6,18,Tienda Física,14.324736842105263,Ocasional,38.0,F,Lima,San Isidro
0,14,5117.29,35.0,365.5207142857143,8,1.2727272727272727,6,14,Tienda Física,9.23857142857143,Regular,39.0,F,Cusco,San Jerónimo
0,19,7746.61,55.0,407.71631578947364,32,1.2666666666666666,6,19,Tienda Física,14.978421052631578,Regular,47.0,M,Lima,La Molina
0,15,3678.5600000000004,36.0,245.23733333333337,65,1.0714285714285714,6,14,Tienda Física,9.443333333333333,Nuevo,51.0,F,Arequipa,Cayma
0,23,11700.539999999999,44.0,508.7191304347826,14,1.15,6,21,Tienda Física,11.52304347826087,Regular,34.0,F,Arequipa,Cercado
0,10,774.8199999999999,24.0,77.482,49,1.25,5,10,Tienda Física,12.912,Premium,34.0,M,Lima,Surco
1,15,2158.56,35.0,143.904,5,1.1538461538461537,5,15,Tienda Física,12.307333333333334,Nuevo,47.0,M,Arequipa,Yanahuara
0,11,3867.32,31.0,351.57454545454544,4,1.0,6,11,Tienda Física,15.15090909090909,Ocasional,42.0,F,Arequipa,Yanahuara
0,15,3673.05,39.0,244.87,200,1.25,6,15,Tienda Física,13.458666666666666,Ocasional,34.0,F,Trujillo,El Recreo
1,11,5006.41,18.0,455.1281818181818,180,1.2222222222222223,6,11,Tienda Física,10.368181818181817,Premium,36.0,F,Arequipa,Cercado
0,13,4699.72,39.0,361.5169230769231,51,1.0,6,13,Tienda Física,12.929230769230768,Regular,50.0,F,Lima,Lince
0,12,10094.18,27.0,841.1816666666667,73,1.0909090909090908,5,12,Tienda Física,13.996666666666668,Ocasional,45.0,M,Lima,Pueblo Libre
0,11,3111.89,28.0,282.8990909090909,72,1.1,6,11,Tienda Física,11.497272727272728,Nuevo,46.0,M,Lima,La Molina
0,9,1809.1200000000001,23.0,201.01333333333335,74,1.2857142857142858,6,9,Tienda Física,12.194444444444445,Regular,44.0,M,Cusco,San Jerónimo
0,12,2033.96,24.0,169.49666666666667,103,1.2,5,12,Tienda Física,13.354166666666666,Regular,28.0,M,Arequipa,Cerro Colorado
0,17,9128.13,36.0,536.9488235294117,14,1.2142857142857142,6,17,Tienda Física,13.585294117647058,Ocasional,47.0,F,Lima,San Miguel
0,13,1263.5613486818447,33.0,97.19702682168037,28,1.0,4,13,Tienda Física,11.817692307692308,Regular,51.0,M,Lima,Surco
0,17,5327.46,42.0,313.38,130,1.2142857142857142,6,16,Tienda Física,13.437058823529412,Regular,23.0,F,Trujillo,El Recreo
1,20,18154.149999999998,62.0,907.7074999999999,72,1.25,6,18,Tienda Física,11.878,Nuevo,38.0,F,Lima,Surco
0,14,3984.86,33.0,284.6328571428572,7,1.1666666666666667,6,14,Tienda Física,13.187857142857142,Ocasional,60.0,M,Trujillo,Vista Alegre
0,16,6098.83,30.0,381.176875,41,1.1428571428571428,6,16,Tienda Física,13.56875,Regular,22.0,F,Arequipa,Paucarpata
0,13,1978.12,30.0,152.16307692307691,22,1.0833333333333333,4,13,Tienda Física,11.843846153846155,Nuevo,20.0,F,Lima,Surco
0,10,750.87,23.0,75.087,118,1.1111111111111112,4,10,Tienda Física,11.367,Nuevo,48.0,M,Arequipa,Cayma
0,17,2456.94,46.0,144.52588235294118,40,1.2142857142857142,5,17,Tienda Física,11.275294117647059,Premium,33.0,M,Piura,Sullana
0,13,6609.67,29.0,508.43615384615384,56,1.3,6,13,Tienda Física,12.475384615384616,Regular,58.0,F,Arequipa,Paucarpata
1,13,2943.53,45.0,226.42538461538464,33,1.0833333333333333,5,13,Tienda Física,11.246923076923078,Ocasional,35.0,M,Lima,Miraflores
1,12,2690.67,27.0,224.2225,31,1.0909090909090908,6,12,Tienda Física,12.459166666666667,Regular,40.0,M,Arequipa,Yanahuara
0,13,4862.39,32.0,374.03000000000003,39,1.1818181818181819,6,12,Tienda Física,9.533846153846154,Nuevo,23.0,F,Lima,Miraflores
0,13,12535.65,33.0,964.2807692307692,38,1.3,6,13,Tienda Física,13.647692307692308,Premium,52.0,F,Lima,Pueblo Libre
1,8,2588.06,14.0,323.5075,113,1.3333333333333333,5,8,Tienda Física,10.48,Premium,18.0,F,Lima,Surco
0,23,11820.130000000001,52.0,513.9186956521739,14,1.4375,5,21,Tienda Física,14.422608695652174,Regular,19.0,M,Lima,Miraflores
0,14,5284.39,30.0,377.4564285714286,57,1.0769230769230769,5,14,Tienda Física,9.45142857142857,Regular,52.0,M,Piura,Sullana
0,14,9512.73,30.0,679.4807142857143,76,1.1666666666666667,6,14,Tienda Física,14.646428571428572,Regular,34.0,M,Arequipa,Yanahuara
0,19,4050.14,61.0,213.16526315789474,31,1.1875,5,19,Tienda Física,11.538421052631579,Nuevo,38.0,M,Lima,Pueblo Libre
1,15,2055.71,34.0,137.04733333333334,37,1.3636363636363635,5,15,Tienda Física,8.506,Ocasional,58.0,M,Arequipa,Yanahuara
0,10,6240.54,19.0,624.054,127,1.4285714285714286,5,10,Tienda Física,10.599,Ocasional,18.0,F,Lima,Jesus María
0,16,7427.7300000000005,47.0,464.23312500000003,52,1.3333333333333333,6,16,Tienda Física,12.513125,Regular,39.0,F,Lima,Surco
0,15,1894.77,35.0,126.318,276,1.3636363636363635,5,15,Tienda Física,10.812000000000001,Nuevo,39.0,F,Lima,Barranco
0,12,5731.7300000000005,31.0,477.6441666666667,164,1.2,5,12,Tienda Física,9.427272727272728,Ocasional,39.0,M,Lima,Barranco
0,13,3253.79,36.0,250.29153846153847,26,1.1818181818181819,5,13,Tienda Física,10.763846153846155,Nuevo,31.0,F,Lima,Miraflores
0,14,4097.77,39.0,292.6978571428572,88,1.1666666666666667,5,14,Tienda Física,13.603571428571428,Ocasional,21.0,F,Lima,Miraflores
1,20,12019.289999999999,42.0,632.5942105263157,2,1.1764705882352942,6,20,Tienda Física,14.992500000000001,Ocasional,21.0,M,Lima,Miraflores
0,17,7443.849999999999,41.0,437.87352941176465,14,1.0625,5,17,Tienda Física,13.41,Regular,36.0,M,Lima,Pueblo Libre
0,14,2464.5677656934913,27.0,176.04055469239225,117,1.1666666666666667,6,14,Tienda Física,8.918571428571429,Regular,18.0,F,Cusco,San Jerónimo
0,17,5090.97,32.0,299.4688235294118,27,1.2142857142857142,6,17,Tienda Física,10.904117647058824,Regular,43.0,M,Arequipa,Cercado
0,9,4985.34,28.0,553.9266666666667,136,1.125,5,9,Tienda Física,14.335555555555556,Nuevo,34.0,M,Lima,Barranco
1,16,3861.19,39.0,241.324375,47,1.0666666666666667,5,16,Tienda Física,11.103125,Ocasional,38.0,F,Trujillo,Centro
1,19,7382.610000000001,33.0,388.5584210526316,12,1.2666666666666666,6,19,Tienda Física,13.254736842105263,Nuevo,43.0,F,Arequipa,Yanahuara
0,14,2698.81,29.0,192.77214285714285,41,1.1666666666666667,6,14,Tienda Física,8.094615384615384,Regular,31.0,F,Lima,Jesus María
0,15,2360.3100000000004,28.0,157.354,98,1.3636363636363635,6,15,Tienda Física,8.936666666666667,Nuevo,34.0,M,Arequipa,Paucarpata
0,7,3369.49,18.0,481.35571428571427,0,1.4,5,7,Tienda Física,12.787142857142856,Ocasional,23.0,M,Cusco,Wanchaq
0,24,3516.5299999999997,62.0,152.89260869565217,90,1.411764705882353,6,24,Tienda Física,11.777916666666668,Nuevo,55.0,F,Arequipa,Cerro Colorado
0,12,2465.9700000000003,33.0,205.49750000000003,152,1.2,6,12,Tienda Física,12.749166666666667,Nuevo,46.0,F,Trujillo,La Merced
0,14,1748.9099999999999,28.0,124.92214285714284,79,1.4,4,14,Tienda Física,12.672142857142857,Ocasional,63.0,F,Trujillo,Vista Alegre
1,11,2655.4399999999996,23.0,241.40363636363634,64,1.2222222222222223,5,11,Tienda Física,10.261818181818182,Nuevo,41.0,F,Arequipa,Paucarpata
0,13,3610.94,33.0,300.9116666666667,77,1.1818181818181819,5,13,Tienda Física,9.945384615384615,Premium,44.0,M,Piura,Veintiséis de Octubre
0,16,4319.38,35.0,269.96125,129,1.1428571428571428,5,16,Tienda Física,13.330625,Premium,33.0,F,Trujillo,Vista Alegre
0,15,6566.19,28.0,437.746,4,1.5,6,15,Tienda Física,9.543333333333333,Regular,39.0,F,Cusco,Santiago
0,12,2274.58,31.0,189.54833333333332,429,1.3333333333333333,4,12,Tienda Física,15.543333333333335,Ocasional,18.0,M,Lima,La Molina
0,12,2489.7000000000003,37.0,207.47500000000002,110,1.2,6,12,Tienda Física,13.969090909090909,Regular,27.0,M,Cusco,Wanchaq
0,16,8189.94,42.0,511.87125,86,1.3333333333333333,5,16,Tienda Física,9.840625,Nuevo,46.0,M,Lima,Barranco
1,17,4988.14,40.0,293.42,63,1.4166666666666667,6,16,Tienda Física,14.618235294117646,Ocasional,48.0,M,Lima,San Miguel
0,17,4002.56,40.0,235.44470588235293,37,1.2142857142857142,6,17,Tienda Física,11.909411764705883,Nuevo,42.0,F,Lima,San Isidro
1,18,2664.84,38.0,148.04666666666668,3,1.2857142857142858,6,18,Tienda Física,12.932222222222222,Premium,33.0,F,Cusco,Santiago
0,14,7689.61,33.0,549.2578571428571,137,1.1666666666666667,5,14,Tienda Física,11.577142857142857,Ocasional,36.0,M,Piura,Veintiséis de Octubre
0,12,997.88,17.0,83.15666666666667,198,1.0,4,12,Tienda Física,11.666666666666666,Ocasional,26.0,M,Lima,Pueblo Libre
0,18,1727.6599999999999,40.0,95.9811111111111,86,1.2857142857142858,5,18,Tienda Física,11.63111111111111,Ocasional,46.0,M,Lima,Miraflores
0,13,4693.28,23.0,361.02153846153846,164,1.0833333333333333,6,13,Tienda Física,13.430769230769231,Nuevo,56.0,F,Lima,San Miguel
0,12,6356.0199999999995,28.0,529.6683333333333,13,1.3333333333333333,5,12,Tienda Física,14.236666666666666,Nuevo,38.0,M,Arequipa,Cercado
0,16,3686.36,36.0,230.3975,148,1.1428571428571428,6,16,Tienda Física,12.568666666666667,Regular,18.0,M,Trujillo,Vista Alegre
0,17,13463.45,32.0,791.9676470588236,153,1.4166666666666667,6,16,Tienda Física,11.5975,Premium,40.0,M,Cusco,Santiago
0,11,10400.78,24.0,945.5254545454546,85,1.1,6,11,Tienda Física,12.466363636363637,Ocasional,34.0,M,Lima,Barranco
0,15,6837.41,31.0,455.82733333333334,14,1.25,6,15,Tienda Física,14.641333333333334,Regular,28.0,M,Cusco,Santiago
0,11,968.08,26.0,88.00727272727273,64,1.375,4,11,Tienda Física,10.532727272727273,Nuevo,32.0,F,Arequipa,Cercado
1,18,12199.371055178904,37.0,677.742836398828,112,1.3846153846153846,5,18,Tienda Física,12.499444444444444,Regular,20.0,F,Lima,San Isidro
1,20,3184.71,47.0,159.2355,59,1.25,5,20,Tienda Física,11.869499999999999,Regular,35.0,M,Arequipa,Yanahuara
0,21,2022.52,50.0,96.3104761904762,35,1.4,5,21,Tienda Física,13.72095238095238,Nuevo,44.0,F,Lima,Surco
1,16,2319.94,41.0,144.99625,71,1.2307692307692308,5,16,Tienda Física,12.918125,Ocasional,42.0,M,Trujillo,Mansiche
0,18,5794.39,39.0,321.91055555555556,85,1.3846153846153846,6,18,Tienda Física,10.819411764705883,Premium,43.0,M,Cusco,San Sebastián
0,9,1791.4300000000003,20.0,199.0477777777778,159,1.2857142857142858,5,9,Tienda Física,14.12,Ocasional,19.0,M,Lima,Jesus María
0,13,3016.65,36.0,232.05,24,1.0833333333333333,6,13,Tienda Física,10.745384615384616,Regular,29.0,F,Trujillo,Mansiche
0,12,4654.22,30.0,387.8516666666667,87,1.3333333333333333,6,12,Tienda Física,16.256666666666664,Ocasional,39.0,F,Trujillo,Centro
1,11,6487.139999999999,31.0,589.7399999999999,63,1.1,5,11,Tienda Física,10.649090909090908,Premium,36.0,F,Trujillo,Vista Alegre
0,15,1208.17,32.0,80.54466666666667,34,1.25,4,15,Tienda Física,14.722000000000001,Ocasional,51.0,M,Lima,Pueblo Libre
0,14,5614.2,25.0,401.0142857142857,18,1.5555555555555556,6,14,Tienda Física,13.879999999999999,Premium,32.0,F,Lima,La Molina
0,16,4776.6996242198575,45.0,298.5437265137411,9,1.0666666666666667,6,16,Tienda Física,13.271875,Regular,34.0,M,Lima,Magdalena
0,8,488.90999999999997,13.0,61.113749999999996,36,1.1428571428571428,5,8,Tienda Física,11.495000000000001,Premium,24.0,M,Cusco,Cercado
0,14,3715.49,25.0,265.39214285714286,21,1.0769230769230769,6,14,Tienda Física,14.567857142857141,Premium,36.0,F,Lima,Magdalena
0,18,1013.29,43.0,56.29388888888889,42,1.5,4,18,Tienda Física,10.87,Regular,50.0,F,Trujillo,Mansiche
1,13,8500.06,27.0,653.8507692307692,119,1.1818181818181819,5,13,Tienda Física,13.483846153846153,Regular,70.0,F,Arequipa,Paucarpata
1,15,2359.45,38.0,157.29666666666665,7,1.0714285714285714,6,15,Tienda Física,12.249285714285715,Regular,47.0,F,Lima,San Miguel
0,11,705.45,27.0,64.13181818181819,57,1.375,5,11,Tienda Física,12.109090909090908,Regular,44.0,M,Lima,Magdalena
0,19,7722.719999999999,39.0,406.45894736842104,77,1.1875,6,19,Tienda Física,11.702631578947368,Nuevo,40.0,F,Lima,La Molina
1,10,1466.01,26.0,146.601,7,1.4285714285714286,4,10,App,9.907,Premium,41.0,M,Trujillo,Mansiche
0,12,2763.13,26.0,230.26083333333335,39,1.2,6,12,Tienda Física,8.783333333333333,Nuevo,40.0,F,Lima,San Isidro
0,15,1059.43,38.0,70.62866666666667,96,1.3636363636363635,5,15,Tienda Física,10.544,Regular,30.0,M,Trujillo,Mansiche
1,13,4214.5,36.0,324.1923076923077,11,1.3,6,13,Tienda Física,10.629999999999999,Ocasional,33.0,F,Arequipa,Cayma
0,15,1150.31,29.0,76.68733333333333,10,1.1538461538461537,5,15,Tienda Física,11.049333333333333,Ocasional,46.0,F,Arequipa,Cayma
0,16,3166.09,33.0,197.880625,67,1.2307692307692308,6,16,Tienda Física,11.20875,Ocasional,33.0,M,Lima,Jesus María
0,16,7293.062616085769,31.0,486.20417440571794,28,1.6,5,16,Tienda Física,13.1,Regular,34.0,F,Arequipa,Paucarpata
1,14,13012.41,30.0,929.4578571428572,38,1.4,5,14,Tienda Física,11.482142857142858,Ocasional,35.0,F,Lima,Magdalena
0,13,7249.47,28.0,557.6515384615385,22,1.3,6,13,Tienda Física,14.069230769230769,Premium,39.0,F,Lima,Barranco
0,17,3018.21,33.0,177.54176470588234,41,1.4166666666666667,6,17,Tienda Física,15.808823529411764,Nuevo,18.0,F,Lima,Pueblo Libre
0,11,2862.86,28.0,260.26,7,1.1,5,11,Tienda Física,15.541818181818183,Regular,35.0,F,,Paucarpata
0,18,8109.341763816735,48.0,450.5189868787075,91,1.8,6,18,Tienda Física,12.750555555555556,Ocasional,38.0,F,Cusco,Cercado
0,21,4632.26,46.0,220.58380952380952,24,1.9090909090909092,6,21,Tienda Física,10.66904761904762,Regular,27.0,M,Lima,Jesus María
0,18,8122.47,42.0,451.24833333333333,163,1.3846153846153846,6,18,Tienda Física,9.670555555555556,Ocasional,21.0,F,Arequipa,Yanahuara
1,23,2461.07,51.0,107.00304347826088,137,1.2105263157894737,5,21,Tienda Física,11.21782608695652,Regular,63.0,M,Lima,La Molina
0,17,795.28,37.0,46.781176470588235,150,1.2142857142857142,4,17,Tienda Física,12.75529411764706,Ocasional,30.0,F,Lima,Jesus María
0,15,2200.45,30.0,146.69666666666666,51,1.1538461538461537,6,15,Tienda Física,14.127333333333333,Regular,59.0,F,Arequipa,Cercado
0,19,4558.24,44.0,239.9073684210526,14,1.2666666666666666,6,19,Tienda Física,12.061052631578947,Premium,40.0,F,Lima,La Molina
0,18,3437.8599999999997,44.0,190.9922222222222,199,1.5,6,18,Tienda Física,12.374444444444444,Nuevo,41.0,F,Lima,San Isidro
0,19,7567.76,40.0,398.30315789473684,29,1.0555555555555556,6,19,Tienda Física,11.456842105263158,Regular,29.0,F,Trujillo,La Merced
0,17,4041.2200000000003,33.0,237.7188235294118,14,1.4166666666666667,6,17,Tienda Física,15.368823529411763,Regular,31.0,F,Arequipa,Paucarpata
1,7,3849.48,20.0,549.9257142857143,34,1.0,5,6,Tienda Física,11.677142857142856,Premium,32.0,M,Cusco,Wanchaq
0,18,3075.45,88.02084381299805,170.85833333333332,12,1.2,6,18,Tienda Física,11.467222222222222,Regular,48.0,F,Piura,Centro
0,17,3035.99,39.0,178.5876470588235,101,1.4166666666666667,4,17,Tienda Física,13.724705882352941,Ocasional,53.0,M,Arequipa,Cayma
0,9,2516.63,18.0,279.6255555555556,226,1.0,5,9,Tienda Física,14.709999999999999,Ocasional,39.0,M,Lima,Jesus María
0,13,2459.37,28.0,189.1823076923077,64,1.4444444444444444,6,13,Tienda Física,9.19,Ocasional,32.0,F,Lima,Pueblo Libre
0,17,3347.34,34.0,209.20875,10,1.2142857142857142,6,17,Tienda Física,13.376470588235295,Regular,21.0,F,Arequipa,Cercado
0,21,3474.98,47.0,165.4752380952381,61,1.5,6,21,Tienda Física,16.147142857142857,Regular,37.0,F,Cusco,San Jerónimo
1,18,10799.22,42.0,599.9566666666666,38,1.6363636363636365,6,15,Tienda Física,12.142777777777777,Nuevo,57.0,F,Arequipa,Yanahuara
0,14,10816.400000000001,36.0,772.6000000000001,171,1.4,5,14,Tienda Física,10.9,Nuevo,53.0,F,Trujillo,Vista Alegre
0,18,6828.28,40.0,379.3488888888889,118,1.2,6,18,Tienda Física,12.304444444444444,Regular,24.0,M,Lima,Miraflores
0,14,1532.74,30.0,109.48142857142857,156,1.1666666666666667,5,14,Tienda Física,13.307857142857143,Regular,28.0,F,Lima,Barranco
1,20,11704.630000000001,48.0,585.2315000000001,12,1.25,6,19,Tienda Física,13.069999999999999,Nuevo,51.0,F,Arequipa,Paucarpata
0,16,6950.74,41.0,434.42125,99,1.1428571428571428,6,16,Tienda Física,12.143125,Ocasional,41.0,F,Lima,Barranco
0,18,3539.58,48.0,196.64333333333332,18,1.2857142857142858,5,18,Tienda Física,10.773333333333333,Nuevo,44.0,M,Lima,Lince
0,16,4914.15,35.0,307.134375,11,1.3333333333333333,6,15,Tienda Física,11.748125,Ocasional,31.0,F,Cusco,San Jerónimo
0,13,5569.51,23.0,428.42384615384617,10,1.3,5,13,Tienda Física,12.958461538461538,Ocasional,31.0,F,Cusco,Santiago
1,18,4382.58,37.0,243.47666666666666,32,1.2,6,17,Tienda Física,12.705555555555556,Premium,69.0,M,Lima,Magdalena
0,10,5654.88,18.0,565.488,87,1.0,5,10,Tienda Física,12.78,Ocasional,39.0,M,Lima,Magdalena
0,9,586.54,23.0,65.1711111111111,30,1.125,4,9,Tienda Física,10.613333333333335,Regular,37.0,M,Lima,San Isidro
1,15,6223.53,30.0,414.902,28,1.1538461538461537,5,15,Tienda Física,13.877333333333333,Nuevo,39.0,M,Lima,Lince
0,17,1614.37,31.0,94.96294117647058,80,1.1333333333333333,5,16,Tienda Física,11.18235294117647,Regular,53.0,M,Cusco,San Jerónimo
0,11,1875.6499999999999,24.0,170.51363636363635,152,1.2222222222222223,6,11,Tienda Física,13.25090909090909,Ocasional,47.0,F,Cusco,Cercado
0,8,2485.8599999999997,18.0,310.73249999999996,26,1.1428571428571428,5,8,Tienda Física,10.69875,Regular,30.0,F,Trujillo,El Recreo
0,18,5795.92,36.0,321.99555555555554,28,1.2,6,18,Tienda Física,14.386111111111111,Nuevo,28.0,F,Trujillo,El Recreo
0,13,4236.12,20.0,325.8553846153846,0,1.1818181818181819,6,13,Tienda Física,12.063846153846155,Regular,30.0,M,Trujillo,El Recreo
0,24,10072.859999999999,48.0,419.70249999999993,22,1.6,6,23,Tienda Física,16.285,Ocasional,45.0,M,Arequipa,Paucarpata
0,23,6111.07,64.0,265.6986956521739,26,1.4375,6,22,Tienda Física,8.312173913043479,Nuevo,22.0,F,Piura,Centro
0,9,1718.43,23.0,190.93666666666667,76,1.125,5,9,Tienda Física,15.106666666666667,Ocasional,18.0,M,Lima,La Molina
0,13,1317.1399999999999,27.0,101.31846153846153,10,1.0833333333333333,5,13,Tienda Física,11.933846153846153,Ocasional,52.0,F,Arequipa,Cerro Colorado
1,8,316.56,15.0,39.57,10,1.0,4,8,Tienda Física,11.873750000000001,Premium,62.0,M,Lima,Lince
1,20,2217.53,34.0,110.87650000000001,92,1.3333333333333333,5,20,Tienda Física,9.7205,Ocasional,37.0,F,Lima,Lince
0,11,2697.38,26.0,245.21636363636364,181,1.2222222222222223,4,11,Tienda Física,16.062727272727273,Ocasional,39.0,M,Lima,San Isidro
0,17,9711.44,34.0,571.2611764705882,31,1.2142857142857142,6,17,Tienda Física,11.238235294117647,Regular,55.0,F,Cusco,Cercado
