id_producto,id_tienda,stock,stock_minimo,stock_maximo,costo_almacenamiento,ultima_actualizacion
4,11,37.0,7.0,55.0,1.23,2025-12-25
4,12,5.0,0.0,10.0,0.0,2025-12-04
5,1,50.0,10.0,75.0,1.09,2025-12-05
5,2,43.0,8.0,64.0,2.47,2025-12-12
5,3,45.0,9.0,67.0,2.14,2025-12-27
5,4,51.0,10.0,76.0,2.14,2025-12-23
5,5,49.0,9.0,73.0,2.51,2025-12-18
5,6,46.0,9.0,69.0,1.46,2025-12-13
5,7,55.0,11.0,82.0,1.24,2025-12-03
5,8,52.0,10.0,78.0,1.99,2025-12-17
5,9,38.0,7.0,57.0,1.96,2025-12-16
5,10,49.0,9.0,73.0,1.68,2025-12-19
5,11,65.0,13.0,97.0,2.52,2025-12-05
5,12,5.0,0.0,10.0,0.0,2025-12-05
6,1,18.0,3.0,27.0,1.86,2025-12-05
6,2,20.0,4.0,30.0,3.47,2025-12-28
6,3,22.0,4.0,33.0,2.27,2025-12-04
6,4,16.0,3.0,24.0,2.86,2025-12-19
6,5,29.0,5.0,43.0,4.99,2025-12-05
6,6,14.0,2.0,21.0,2.54,2025-12-20
6,7,16.0,3.0,24.0,5.8,2025-12-10
6,8,14.0,2.0,21.0,3.15,2025-12-10
6,9,22.0,4.0,33.0,3.0,2025-12-26
6,10,16.0,3.0,24.0,5.49,2025-12-31
6,11,21.0,4.0,31.0,2.9,2025-12-20
6,12,3.0,0.0,10.0,0.0,2025-12-02
7,1,56.0,11.0,84.0,1.42,2025-12-27
7,2,36.0,7.0,54.0,3.01,2025-12-10
7,3,58.0,11.0,87.0,1.37,2025-12-21
7,4,38.0,7.0,57.0,2.39,2025-12-20
7,5,53.0,10.0,79.0,1.13,2025-12-08
7,6,44.0,8.0,66.0,1.44,2025-12-28
7,7,52.0,10.0,78.0,3.48,2025-12-28
7,8,49.0,9.0,73.0,3.34,2025-12-12
7,9,50.0,10.0,75.0,1.45,2025-12-15
7,10,59.0,11.0,88.0,2.51,2025-12-11
7,11,57.0,11.0,85.0,2.69,2025-12-24
7,12,7.0,0.0,10.0,0.0,2025-12-13
8,1,20.0,4.0,30.0,11.09513429468076,2025-12-19
8,2,20.0,4.0,30.0,3.69,2025-12-07
8,3,27.0,5.0,40.0,1.46,2025-12-26
8,4,14.0,2.0,21.0,1.49,2025-12-29
8,5,15.0,3.0,22.0,3.34,2025-12-25
8,6,20.0,4.0,30.0,3.44,2025-12-10
8,7,19.0,3.0,28.0,3.92,2025-12-05
8,8,15.0,3.0,22.0,4.0,2025-12-28
8,9,13.0,2.0,19.0,2.56,2025-12-16
8,10,21.0,4.0,31.0,2.1,2025-12-29
8,11,15.0,3.0,22.0,3.3,2025-12-14
8,12,5.0,0.0,10.0,0.0,2025-12-02
9,1,8.0,1.0,12.0,89.56,2025-12-20
9,2,3.0,0.0,4.0,118.03,2025-12-20
9,3,5.0,1.0,7.0,60.78,2025-12-16
9,4,3.0,0.0,4.0,131.11,2025-12-09
9,5,6.0,1.0,9.0,113.07,2025-12-15
9,6,5.0,1.0,7.0,118.36,2025-12-10
9,7,4.0,0.0,6.0,127.86,2025-12-17
9,8,7.0,1.0,10.0,87.01,2025-12-11
9,9,4.0,0.0,6.0,59.54,2025-12-13
9,10,9.0,1.0,13.0,109.76,2025-12-25
9,11,4.0,0.0,6.0,46.1,2025-12-08
9,12,4.0,0.0,10.0,0.0,2025-12-06
10,1,38.0,7.0,57.0,0.53,
10,2,53.0,,79.0,1.34,2025-12-11
10,3,45.0,9.0,67.0,0.94,2025-12-26
10,4,46.0,9.0,69.0,,2025-12-03
10,5,63.0,12.0,94.0,1.38,2025-12-02
10,6,45.0,9.0,67.0,0.7,2025-12-26
10,7,43.0,8.0,64.0,1.82,2025-12-22
10,8,48.0,9.0,72.0,1.05,2025-12-07
10,9,55.0,11.0,82.0,1.15,2025-12-25
10,10,54.0,10.0,81.0,0.98,2025-12-22
10,11,37.0,7.0,55.0,1.27,2025-12-10
10,12,3.0,0.0,10.0,0.0,2025-12-28
11,1,56.0,11.0,84.0,1.41,2025-12-02
11,2,42.0,8.0,63.0,1.21,2025-12-28
11,3,47.0,9.0,70.0,0.84,2025-12-24
11,4,47.0,9.0,70.0,1.06,2025-12-09
11,5,42.0,8.0,63.0,1.76,2025-12-23
11,6,52.0,10.0,78.0,1.17,2025-12-21
11,7,59.0,11.0,88.0,1.87,2025-12-09
11,8,63.0,12.0,94.0,1.04,2025-12-15
11,9,47.0,9.0,70.0,0.91,2025-12-16
11,10,61.0,12.0,91.0,0.69,2025-12-29
11,11,49.0,9.0,73.0,0.74,2025-12-31
11,12,2.0,0.0,10.0,0.0,2025-12-16
12,1,18.0,3.0,27.0,21.84,2025-12-04
12,2,26.0,5.0,39.0,7.59,2025-12-24
12,3,25.0,5.0,37.0,14.33,2025-12-29
12,4,24.0,4.0,36.0,15.81,2025-12-23
12,5,17.0,3.0,25.0,19.33,2025-12-09
12,6,18.0,3.0,27.0,12.8,2025-12-22
12,7,16.0,3.0,24.0,21.16,2025-12-11
12,8,19.0,3.0,28.0,17.61,2025-12-25
12,9,24.0,4.0,36.0,14.86,2025-12-27
12,10,14.0,2.0,21.0,9.28,2025-12-17
12,11,19.0,3.0,28.0,15.14,2025-12-14
12,12,1.0,0.0,10.0,0.0,2025-12-17
13,1,15.0,3.0,22.0,16.67,2025-12-07
13,2,12.0,2.0,18.0,16.94,2025-12-30
13,3,20.0,4.0,30.0,17.55,2025-12-06
13,4,19.0,3.0,28.0,13.71,2025-12-18
13,5,23.0,4.0,34.0,13.61,2025-12-26
13,6,23.0,4.0,34.0,15.54,2025-12-02
13,7,18.0,3.0,27.0,17.52,2025-12-31
13,8,12.0,2.0,18.0,22.19,2025-12-30
13,9,21.0,4.0,31.0,13.29,2025-12-02
13,10,18.0,3.0,27.0,15.66,2025-12-16
13,11,27.0,5.0,40.0,10.91,2025-12-28
13,12,9.0,0.0,10.0,0.0,2025-12-25
14,1,51.0,10.0,76.0,1.94,2025-12-08
14,2,46.0,9.0,69.0,1.63,2025-12-08
14,3,54.0,10.0,81.0,2.75,2025-12-25
14,4,52.0,10.0,78.0,3.04,2025-12-02
14,5,38.0,7.0,57.0,2.87,2025-12-07
14,6,50.0,10.0,75.0,2.43,2025-12-25
14,7,42.0,8.0,63.0,3.47,2025-12-17
14,8,58.0,11.0,87.0,4.07,2025-12-26
14,9,42.0,8.0,63.0,1.91,2025-12-24
14,10,42.0,8.0,63.0,2.68,2025-12-29
14,11,38.0,7.0,57.0,3.01,2025-12-18
14,12,6.0,0.0,10.0,0.0,2025-12-30
15,1,16.0,3.0,24.0,17.99,2025-12-14
15,2,15.0,3.0,22.0,11.33,2025-12-29
15,3,15.0,3.0,22.0,10.79,2025-12-28
15,4,25.0,5.0,37.0,17.55,2025-12-09
15,5,20.0,4.0,30.0,8.68,2025-12-23
15,6,26.0,5.0,39.0,13.53,2025-12-30
15,7,28.0,5.0,42.0,19.48,2025-12-02
15,8,23.0,4.0,34.0,17.99,2025-12-12
15,9,18.0,3.0,27.0,14.52,2025-12-13
15,10,25.0,5.0,37.0,16.31,2025-12-12
15,11,14.0,2.0,21.0,8.56,2025-12-02
15,12,1.0,0.0,10.0,0.0,2025-12-11
16,1,51.0,10.0,76.0,1.42,2025-12-20
16,2,47.0,9.0,70.0,,2025-12-20
16,3,45.0,9.0,67.0,1.27,2025-12-11
16,4,52.0,10.0,78.0,1.2,2025-12-24
16,5,49.0,9.0,73.0,1.13,2025-12-29
16,6,50.0,10.0,75.0,0.81,2025-12-29
16,7,52.0,10.0,78.0,1.85,2025-12-28
16,8,51.0,10.0,76.0,1.32,2025-12-31
16,9,42.0,8.0,63.0,1.18,2025-12-13
16,10,52.0,10.0,78.0,1.29,2025-12-16
16,11,45.0,9.0,67.0,1.16,2025-12-28
16,12,2.0,0.0,10.0,0.0,2025-12-22
17,1,51.0,10.0,76.0,1.44,2025-12-21
17,2,40.0,8.0,60.0,2.34,2025-12-14
17,3,47.0,9.0,70.0,2.72,2025-12-25
17,4,54.0,10.0,81.0,2.13,2025-12-28
17,5,43.0,8.0,64.0,2.03,2025-12-28
17,6,50.0,10.0,75.0,1.22,2025-12-22
17,7,52.0,10.0,78.0,3.26,2025-12-23
17,8,51.0,10.0,76.0,2.54,2025-12-19
17,9,46.0,9.0,69.0,1.38,2025-12-30
17,10,49.0,9.0,73.0,1.83,2025-12-22
17,11,49.0,9.0,73.0,1.37,2025-12-06
17,12,3.0,0.0,10.0,0.0,
18,1,,7.0,58.0,0.79,2025-12-11
18,2,50.0,10.0,75.0,1.46,2025-12-22
18,3,54.0,10.0,81.0,0.96,2025-12-26
18,4,51.0,10.0,76.0,1.05,2025-12-18
18,5,49.0,9.0,73.0,1.1,2025-12-31
18,6,47.0,9.0,70.0,1.33,2025-12-30
18,7,47.0,9.0,70.0,2.05,2025-12-28
18,8,54.0,10.0,81.0,1.62,2025-12-19
18,9,55.0,11.0,82.0,0.89,2025-12-24
18,10,50.0,10.0,75.0,1.39,2025-12-16
18,11,63.0,12.0,94.0,2.25,2025-12-04
18,12,1.0,0.0,10.0,0.0,2025-12-03
19,1,24.0,4.0,36.0,1.6,2025-12-05
19,2,27.0,5.0,40.0,1.65,2025-12-23
19,3,21.0,4.0,31.0,2.22,2025-12-25
19,4,18.0,3.0,27.0,1.12,2025-12-09
19,5,17.0,3.0,25.0,1.79,2025-12-27
19,6,18.0,3.0,27.0,2.51,2025-12-21
19,7,29.0,5.0,43.0,2.82,2025-12-08
19,8,18.0,3.0,27.0,1.49,2025-12-12
19,9,20.0,4.0,30.0,1.63,2025-12-25
19,10,16.0,3.0,24.0,1.67,2025-12-22
19,11,25.0,5.0,37.0,2.22,2025-12-24
19,12,1.0,0.0,10.0,0.0,2025-12-30
20,1,56.0,11.0,84.0,0.73,2025-12-07
20,2,45.0,9.0,67.0,1.76,2025-12-30
20,3,52.0,10.0,78.0,0.63,2025-12-11
20,4,46.0,9.0,69.0,1.04,2025-12-31
20,5,62.0,12.0,93.0,0.67,2025-12-02
20,6,52.0,10.0,78.0,1.79,2025-12-14
20,7,,8.0,61.0,1.61,2025-12-12
20,8,49.0,9.0,73.0,1.44,2025-12-31
20,9,49.0,9.0,73.0,0.77,2025-12-04
20,10,40.0,8.0,60.0,1.51,2025-12-04
20,11,51.0,10.0,76.0,0.94,2025-12-27
20,12,4.0,0.0,10.0,0.0,2025-12-02
21,1,24.0,4.0,36.0,5.12,2025-12-03
21,2,15.0,3.0,22.0,2.08,2025-12-11
21,3,16.0,3.0,24.0,2.49,2025-12-02
21,4,19.0,3.0,28.0,4.3,2025-12-29
21,5,31.0,6.0,46.0,2.52,2025-12-15
21,6,21.0,4.0,31.0,3.14,2025-12-11
21,7,21.0,4.0,31.0,4.37,2025-12-26
21,8,23.0,4.0,34.0,3.57,2025-12-06
21,9,20.0,4.0,30.0,4.5,2025-12-18
21,10,25.0,5.0,37.0,5.78,2025-12-18
21,11,22.0,4.0,33.0,4.1,2025-12-28
21,12,7.0,0.0,10.0,0.0,2025-12-15
22,1,17.0,3.0,25.0,4.17,2025-12-23
22,2,17.0,3.0,25.0,4.19,2025-12-27
22,3,19.0,3.0,28.0,4.29,2025-12-26
22,4,22.0,4.0,33.0,1.89,2025-12-27
22,5,22.0,4.0,33.0,1.65,2025-12-17
22,6,20.0,4.0,30.0,1.88,2025-12-12
22,7,21.0,4.0,31.0,3.41,2025-12-24
22,8,20.0,4.0,30.0,4.82,2025-12-13
22,9,23.0,4.0,34.0,3.54,2025-12-12
22,10,15.0,3.0,22.0,2.23,2025-12-10
22,11,22.0,4.0,33.0,3.81,2025-12-30
22,12,0.0,0.0,10.0,0.0,2025-12-10
23,1,50.0,10.0,75.0,2.03,2025-12-22
23,2,53.0,10.0,79.0,2.48,2025-12-15
23,3,50.0,10.0,,2.36,2025-12-24
23,4,41.0,8.0,61.0,1.52,2025-12-10
23,5,65.0,13.0,97.0,2.26,2025-12-05
23,6,54.0,10.0,81.0,1.04,2025-12-29
23,7,48.0,9.0,72.0,1.59,2025-12-24
23,8,61.0,12.0,91.0,2.49,2025-12-19
23,9,53.0,10.0,79.0,1.22,2025-12-09
23,10,47.0,9.0,70.0,2.36,2025-12-11
23,11,47.0,9.0,70.0,1.04,2025-12-23
23,12,0.0,0.0,10.0,0.0,2025-12-19
24,1,5.0,1.0,7.0,151.59,2025-12-18
24,2,9.0,1.0,13.0,160.67,2025-12-22
24,3,5.0,1.0,7.0,76.69,2025-12-19
24,4,5.0,1.0,7.0,98.5,2025-12-23
24,5,7.0,1.0,10.0,164.21,2025-12-25
24,6,5.0,1.0,7.0,169.69,2025-12-06
24,7,5.0,1.0,7.0,177.24,2025-12-06
24,8,5.0,1.0,7.0,213.66,2025-12-04
24,9,5.0,1.0,7.0,172.63,2025-12-11
24,10,3.0,0.0,4.0,159.13,2025-12-24
24,11,2.0,0.0,3.0,60.78,2025-12-03
24,12,6.0,0.0,10.0,0.0,2025-12-15
25,1,56.0,11.0,84.0,1.54,2025-12-21
25,2,56.0,11.0,84.0,0.95,2025-12-20
25,3,60.0,12.0,90.0,1.73,2025-12-16
25,4,44.0,8.0,66.0,0.64,2025-12-10
25,5,56.0,11.0,84.0,0.61,2025-12-07
25,6,52.0,10.0,78.0,1.25,2025-12-30
25,7,56.0,11.0,84.0,1.98,2025-12-24
25,8,46.0,9.0,69.0,1.87,2025-12-22
25,9,40.0,8.0,60.0,1.32,2025-12-05
25,10,59.0,11.0,88.0,0.7,2025-12-24
25,11,46.0,9.0,69.0,1.28,2025-12-12
25,12,3.0,0.0,10.0,0.0,2025-12-28
26,1,15.0,3.0,22.0,8.27,2025-12-27
26,2,18.0,3.0,27.0,10.51,2025-12-03
26,3,22.0,4.0,33.0,7.27,2025-12-09
26,4,22.0,4.0,33.0,7.9,2025-12-03
26,5,19.0,3.0,28.0,9.67,2025-12-20
26,6,21.0,4.0,31.0,9.86,2025-12-27
26,7,18.0,3.0,27.0,11.79,2025-12-23
26,8,24.0,4.0,36.0,9.74,2025-12-21
26,9,16.0,3.0,24.0,9.61,2025-12-21
26,10,16.0,3.0,24.0,4.14,2025-12-12
26,11,21.0,4.0,31.0,9.9,2025-12-17
26,12,7.0,0.0,10.0,0.0,2025-12-15
27,1,25.0,5.0,37.0,14.45,2025-12-04
27,2,20.0,4.0,30.0,13.42,2025-12-06
27,3,22.0,4.0,33.0,17.38,2025-12-19
27,4,10.0,2.0,15.0,10.71,2025-12-29
27,5,22.0,4.0,33.0,17.95,2025-12-24
27,6,24.0,4.0,36.0,12.55,2025-12-14
27,7,22.0,4.0,33.0,18.96,2025-12-02
27,8,23.0,4.0,34.0,23.75,2025-12-18
27,9,16.0,3.0,24.0,18.5,2025-12-16
27,10,26.0,5.0,39.0,7.54,2025-12-03
27,11,18.0,3.0,27.0,15.89,2025-12-19
27,12,1.0,0.0,10.0,0.0,2025-12-11
28,1,15.0,3.0,22.0,2.95,2025-12-17
28,2,18.0,3.0,27.0,2.89,2025-12-28
28,3,16.0,3.0,24.0,4.59,2025-12-28
28,4,24.0,4.0,36.0,3.72,2025-12-02
28,5,13.0,2.0,19.0,2.4,2025-12-08
28,6,21.0,4.0,31.0,3.46,2025-12-27
28,7,,3.0,28.0,5.14,2025-12-25
28,8,18.0,3.0,27.0,6.72,2025-12-11
28,9,25.0,5.0,37.0,5.41,2025-12-14
28,10,10.0,2.0,15.0,5.14,2025-12-02
28,11,22.0,4.0,33.0,5.23,2025-12-16
28,12,6.0,0.0,10.0,0.0,2025-12-13
29,1,45.0,9.0,67.0,0.71,2025-12-25
29,2,54.0,10.0,81.0,0.92,2025-12-28
29,3,45.0,9.0,67.0,0.61,2025-12-11
29,4,50.0,10.0,75.0,1.61,2025-12-03
29,5,48.0,9.0,72.0,0.58,2025-12-12
29,6,42.0,8.0,63.0,1.29,2025-12-06
29,7,56.0,11.0,84.0,0.75,2025-12-25
29,8,53.0,10.0,79.0,1.86,2025-12-21
29,9,49.0,9.0,73.0,0.88,2025-12-11
29,10,60.0,12.0,90.0,1.42,2025-12-17
29,11,46.0,9.0,69.0,1.15,2025-12-05
29,12,7.0,0.0,10.0,0.0,2025-12-02
30,1,48.0,9.0,72.0,1.76,2025-12-27
30,2,46.0,9.0,,2.67,2025-12-05
30,3,53.0,10.0,79.0,1.3,2025-12-29
30,4,58.0,11.0,87.0,1.14,2025-12-07
30,5,43.0,8.0,64.0,1.36,2025-12-10
30,6,62.0,12.0,93.0,2.9,2025-12-29
30,7,55.0,11.0,82.0,2.61,2025-12-25
30,8,41.0,8.0,61.0,2.43,2025-12-03
30,9,53.0,10.0,79.0,1.5,2025-12-23
30,10,56.0,11.0,84.0,2.52,2025-12-28
30,11,53.0,10.0,79.0,2.19,2025-12-10
30,12,7.0,0.0,10.0,0.0,2025-12-22
31,1,14.0,2.0,21.0,0.82,2025-12-28
31,2,18.0,3.0,27.0,1.36,2025-12-18
31,3,21.0,4.0,31.0,1.22,2025-12-14
31,4,17.0,3.0,25.0,1.28,2025-12-23
31,5,20.0,4.0,30.0,1.83,2025-12-10
31,6,22.0,4.0,33.0,1.41,2025-12-14
31,7,25.0,5.0,37.0,1.74,2025-12-30
31,8,31.0,6.0,46.0,2.24,2025-12-23
31,9,23.0,4.0,34.0,1.91,2025-12-09
31,10,23.0,4.0,34.0,1.59,2025-12-31
31,11,19.0,3.0,28.0,2.09,2025-12-18
31,12,7.0,0.0,10.0,0.0,2025-12-12
32,1,24.0,4.0,36.0,18.12,2025-12-10
32,2,20.0,4.0,30.0,14.84,2025-12-17
32,3,19.0,3.0,28.0,17.14,2025-12-08
32,4,13.0,2.0,19.0,19.09,2025-12-18
32,5,15.0,3.0,22.0,20.04,2025-12-15
32,6,14.0,2.0,21.0,17.0,2025-12-16
32,7,24.0,4.0,36.0,20.96,2025-12-04
32,8,19.0,3.0,28.0,15.34,2025-12-31
32,9,20.0,4.0,,18.15,2025-12-09
32,10,15.0,3.0,22.0,8.02,2025-12-06
32,11,26.0,5.0,39.0,8.68,2025-12-21
32,12,6.0,0.0,10.0,0.0,2025-12-24
33,1,58.0,11.0,87.0,0.83,2025-12-26
33,2,46.0,9.0,69.0,0.95,2025-12-07
33,3,47.0,9.0,70.0,0.92,2025-12-18
33,4,55.0,11.0,82.0,0.97,2025-12-15
33,5,47.0,9.0,70.0,2.08,
33,6,55.0,11.0,82.0,1.04,2025-12-02
33,7,55.0,11.0,82.0,1.74,2025-12-17
33,8,47.0,9.0,70.0,0.95,2025-12-30
33,9,47.0,9.0,,2.12,2025-12-26
33,10,33.0,6.0,49.0,0.96,2025-12-07
33,11,,9.0,69.0,0.92,2025-12-18
33,12,6.0,0.0,10.0,0.0,2025-12-29
34,1,24.0,4.0,36.0,3.63,2025-12-05
34,2,22.0,4.0,33.0,1.72,2025-12-03
34,3,19.0,3.0,28.0,,2025-12-25
34,4,24.0,4.0,36.0,2.22,2025-12-18
34,5,27.0,5.0,40.0,2.37,2025-12-08
34,6,22.0,4.0,33.0,2.44,2025-12-05
34,7,11.0,2.0,16.0,3.56,2025-12-29
34,8,22.0,4.0,33.0,4.41,2025-12-23
34,9,15.0,3.0,22.0,2.6,2025-12-03
34,10,,4.0,30.0,3.08,2025-12-13
34,11,27.0,5.0,40.0,2.61,2025-12-09
34,12,7.0,0.0,10.0,0.0,2025-12-29
35,1,53.0,10.0,79.0,1.04,2025-12-07
35,2,47.0,9.0,70.0,0.59,2025-12-15
35,3,64.0,12.0,96.0,0.74,2025-12-29
35,4,54.0,10.0,81.0,1.01,2025-12-15
35,5,52.0,10.0,78.0,1.09,2025-12-19
35,6,48.0,9.0,72.0,0.83,2025-12-07
35,7,52.0,10.0,78.0,1.68,2025-12-03
35,8,49.0,9.0,73.0,1.81,2025-12-27
35,9,55.0,11.0,82.0,1.07,2025-12-15
35,10,47.0,9.0,70.0,0.56,2025-12-22
35,11,54.0,10.0,81.0,0.99,2025-12-11
35,12,1.0,0.0,10.0,0.0,2025-12-07
36,1,19.0,3.0,28.0,2.26,2025-12-03
36,2,24.0,4.0,36.0,1.77,2025-12-15
36,3,18.0,3.0,27.0,1.02,2025-12-13
36,4,17.0,3.0,25.0,0.99,2025-12-04
36,5,25.0,5.0,37.0,2.5,2025-12-26
36,6,24.0,4.0,36.0,2.35,2025-12-15
36,7,13.0,2.0,19.0,1.73,2025-12-08
36,8,24.0,4.0,36.0,1.18,2025-12-24
36,9,26.0,5.0,39.0,2.28,2025-12-06
36,10,25.0,5.0,37.0,1.0,2025-12-02
36,11,16.0,3.0,24.0,2.12,2025-12-18
36,12,1.0,0.0,10.0,0.0,2025-12-18
37,1,19.0,3.0,28.0,3.75,2025-12-18
37,2,25.0,5.0,37.0,4.01,2025-12-27
37,3,25.0,5.0,37.0,2.61,2025-12-12
37,4,16.0,3.0,24.0,4.89,2025-12-29
37,5,8.0,1.0,12.0,3.96,2025-12-21
37,6,22.0,4.0,33.0,3.45,2025-12-29
37,7,17.0,3.0,25.0,4.17,2025-12-20
37,8,16.0,3.0,24.0,6.32,2025-12-29
37,9,16.0,3.0,24.0,3.28,2025-12-05
37,10,24.0,4.0,36.0,4.07,2025-12-04
37,11,25.0,5.0,37.0,3.35,2025-12-21
37,12,4.0,0.0,10.0,0.0,2025-12-18
38,1,18.0,3.0,27.0,5.98,2025-12-15
38,2,17.0,3.0,25.0,4.28,2025-12-27
38,3,8.0,1.0,12.0,6.36,2025-12-24
38,4,14.0,2.0,21.0,2.46,2025-12-18
38,5,16.0,3.0,24.0,3.62,2025-12-22
38,6,18.0,3.0,27.0,5.32,2025-12-04
38,7,19.0,3.0,28.0,5.15,2025-12-15
38,8,24.0,4.0,36.0,5.04,2025-12-20
38,9,19.0,3.0,28.0,4.93,2025-12-16
38,10,20.0,4.0,30.0,5.1,2025-12-24
38,11,14.0,2.0,21.0,3.39,2025-12-28
38,12,7.0,0.0,10.0,0.0,2025-12-30
39,1,22.0,4.0,33.0,2.81,2025-12-14
39,2,28.0,5.0,42.0,3.1,2025-12-16
39,3,15.0,3.0,22.0,3.52,2025-12-08
39,4,12.0,2.0,18.0,3.17,2025-12-27
39,5,22.0,4.0,33.0,3.16,2025-12-05
39,6,16.0,3.0,24.0,2.78,2025-12-23
39,7,24.0,4.0,36.0,3.76,2025-12-03
39,8,32.0,6.0,48.0,4.03,2025-12-11
39,9,26.0,5.0,39.0,3.36,2025-12-28
39,10,21.0,,31.0,3.33,2025-12-27
39,11,19.0,3.0,28.0,1.74,2025-12-17
39,12,3.0,0.0,10.0,0.0,2025-12-31
40,1,25.0,5.0,37.0,3.46,2025-12-12
40,2,13.0,2.0,19.0,1.87,2025-12-17
40,3,20.0,4.0,30.0,2.54,2025-12-24
40,4,18.0,3.0,27.0,2.76,2025-12-28
40,5,22.0,4.0,33.0,3.49,2025-12-03
40,6,18.0,3.0,27.0,3.66,2025-12-02
40,7,16.0,3.0,24.0,2.57,2025-12-05
40,8,21.0,4.0,31.0,3.88,2025-12-07
40,9,19.0,3.0,28.0,3.91,2025-12-08
40,10,18.0,3.0,27.0,1.83,2025-12-09
40,11,15.0,3.0,22.0,2.15,2025-12-15
40,12,3.0,0.0,10.0,0.0,2025-12-05
41,1,16.0,3.0,24.0,3.97,2025-12-07
41,2,18.0,3.0,27.0,3.07,2025-12-30
41,3,25.0,5.0,37.0,2.52,2025-12-19
41,4,24.0,4.0,36.0,1.8,2025-12-11
41,5,14.0,2.0,21.0,2.79,2025-12-04
41,6,17.0,3.0,25.0,4.17,2025-12-14
41,7,24.0,4.0,36.0,3.19,2025-12-31
41,8,19.0,3.0,28.0,4.84,2025-12-22
41,9,13.0,2.0,19.0,3.29,2025-12-22
41,10,23.0,4.0,34.0,1.58,2025-12-30
41,11,15.0,3.0,22.0,1.53,2025-12-15
41,12,3.0,0.0,10.0,0.0,2025-12-21
42,1,54.0,10.0,81.0,0.83,2025-12-18
42,2,48.0,9.0,72.0,1.54,2025-12-02
42,3,47.0,9.0,70.0,1.23,2025-12-24
42,4,52.0,10.0,78.0,1.12,2025-12-31
42,5,42.0,8.0,63.0,1.41,2025-12-15
42,6,64.0,12.0,96.0,1.02,2025-12-26
42,7,40.0,8.0,60.0,1.16,2025-12-25
42,8,43.0,8.0,64.0,1.81,2025-12-31
42,9,46.0,9.0,69.0,0.59,2025-12-21
42,10,42.0,8.0,63.0,1.51,2025-12-10
42,11,50.0,10.0,75.0,1.36,2025-12-10
42,12,2.0,0.0,10.0,0.0,2025-12-23
43,1,18.0,3.0,27.0,1.29,2025-12-18
43,2,29.0,5.0,43.0,2.03,2025-12-09
43,3,23.0,4.0,34.0,0.99,2025-12-04
43,4,26.0,5.0,39.0,1.65,2025-12-26
43,5,16.0,3.0,24.0,2.32,2025-12-23
43,6,17.0,3.0,25.0,2.27,2025-12-04
43,7,21.0,4.0,31.0,1.86,2025-12-11
43,8,13.0,2.0,19.0,2.78,2025-12-02
43,9,16.0,3.0,24.0,2.38,2025-12-15
43,10,17.0,3.0,25.0,2.43,2025-12-16
43,11,18.0,3.0,27.0,2.08,2025-12-13
43,12,0.0,0.0,10.0,0.0,2025-12-11
44,1,54.0,10.0,81.0,2.92,2025-12-15
